Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
Georgia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2068,7.3475,465,2102934,0,"2023-2024, Georgia. Overall (6 months-17 years)",13.3 - 28.0,1,1,1,22,3,1,1220101
Texas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3705,4.1127,1967,7785248,0,"2023-2024, Texas. Overall (6 months-17 years)",32.9 - 41.2,1,1,1,57,3,1,1570101
Georgia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3,7.6458,465,1854106,0,"2023-2024, Georgia. Overall (6 months-17 years)",22.3 - 37.6,1,1,1,22,3,1,1220101
Georgia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3375,8.3207,465,1759836,0,"2023-2024, Georgia. Overall (6 months-17 years)",25.4 - 42.1,1,1,1,22,3,1,1220101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2413,6.0321,755,115321,0,"2023-2024, Hawaii. Overall (6 months-17 years)",18.1 - 30.2,1,1,1,24,3,1,1240101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2469,4.5469,755,176209,0,"2023-2024, Hawaii. Overall (6 months-17 years)",20.1 - 29.2,1,1,1,24,3,1,1240101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2469,4.5469,755,402457,0,"2023-2024, Hawaii. Overall (6 months-17 years)",20.1 - 29.2,1,1,1,24,3,1,1240101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2625,4.9168,755,204440,0,"2023-2024, Hawaii. Overall (6 months-17 years)",21.3 - 31.2,1,1,1,24,3,1,1240101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3515,5.9109,755,295427,0,"2023-2024, Hawaii. Overall (6 months-17 years)",29.2 - 41.1,1,1,1,24,3,1,1240101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.275,6.5948,693,1521098,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",20.9 - 34.1,1,1,1,49,3,1,1490101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1348,3.4333,584,1099249,0,"2023-2024, Oregon. Overall (6 months-17 years)",10.0 - 16.9,1,1,1,50,3,1,1500101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1901,6.3975,584,1019480,0,"2023-2024, Oregon. Overall (6 months-17 years)",12.6 - 25.4,1,1,1,50,3,1,1500101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2083,5.6985,584,999747,0,"2023-2024, Oregon. Overall (6 months-17 years)",15.1 - 26.5,1,1,1,50,3,1,1500101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2483,8.0405,584,1348749,0,"2023-2024, Oregon. Overall (6 months-17 years)",16.8 - 32.9,1,1,1,50,3,1,1500101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2767,5.4053,584,976935,0,"2023-2024, Oregon. Overall (6 months-17 years)",22.3 - 33.1,1,1,1,50,3,1,1500101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2863,5.4592,584,1026968,0,"2023-2024, Oregon. Overall (6 months-17 years)",23.2 - 34.1,1,1,1,50,3,1,1500101
Pennsylvania,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2167,3.6505,1462,1702429,0,"2023-2024, Pennsylvania. Overall (6 months-17 years)",18.0 - 25.3,1,1,1,51,3,1,1510101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.202,2.8504,1646,5582684,0,"2023-2024, Illinois. Overall (6 months-17 years)",17.4 - 23.1,1,1,1,26,3,1,1260101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2306,3.1879,1646,4378117,0,"2023-2024, Illinois. Overall (6 months-17 years)",19.9 - 26.2,1,1,1,26,3,1,1260101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2666,3.424,1646,3017708,0,"2023-2024, Illinois. Overall (6 months-17 years)",23.2 - 30.1,1,1,1,26,3,1,1260101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2746,3.5529,1646,3667885,0,"2023-2024, Illinois. Overall (6 months-17 years)",23.9 - 31.0,1,1,1,26,3,1,1260101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3582,4.1343,1646,2958528,0,"2023-2024, Illinois. Overall (6 months-17 years)",31.7 - 40.0,1,1,1,26,3,1,1260101
Illinois,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3777,4.3226,1646,3580033,0,"2023-2024, Illinois. Overall (6 months-17 years)",33.5 - 42.1,1,1,1,26,3,1,1260101
Indiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1503,4.0051,565,2068004,0,"2023-2024, Indiana. Overall (6 months-17 years)",11.0 - 19.0,1,1,1,27,3,1,1270101
U.S. Virgin Islands,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,231,23166,1,"2023-2024, Virgin Islands. Overall (6 months-17 years)", - ,1,1,1,58,3,1,1580101
National,National,Race/Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.355,1.6616,19724,34509533,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",33.8 - 37.2,1,5,20,1,1,1,1010520
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1413,1.7945,5818,8401598,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",12.3 - 15.9,1,6,22,1,1,1,1010622
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1563,1.8967,5818,9668688,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",13.7 - 17.5,1,6,22,1,1,1,1010622
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1721,1.8967,5818,8658762,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",15.3 - 19.1,1,6,22,1,1,1,1010622
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.182,2.0452,5818,8832410,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",16.2 - 20.2,1,6,22,1,1,1,1010622
Washington,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3946,10.8722,512,1389178,0,"2023-2024, Washington. Overall (6 months-17 years)",28.6 - 50.3,1,1,1,62,3,1,1620101
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2591,2.6747,5818,9421103,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",23.2 - 28.6,1,6,22,1,1,1,1010622
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2615,2.6779,5818,8803510,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",23.5 - 28.8,1,6,22,1,1,1,1010622
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.171,5.8024,317,493375,0,"2023-2024, Iowa. Overall (6 months-17 years)",11.3 - 22.9,1,1,1,28,3,1,1280101
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2133,9.5768,317,718613,0,"2023-2024, Iowa. Overall (6 months-17 years)",11.8 - 30.9,1,1,1,28,3,1,1280101
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2893,10.2128,317,908882,0,"2023-2024, Iowa. Overall (6 months-17 years)",18.7 - 39.1,1,1,1,28,3,1,1280101
Iowa,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2997,10.3349,317,651781,0,"2023-2024, Iowa. Overall (6 months-17 years)",19.6 - 40.3,1,1,1,28,3,1,1280101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1658,4.1874,793,1427744,0,"2023-2024, Kansas. Overall (6 months-17 years)",12.4 - 20.8,1,1,1,29,3,1,1290101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2037,4.735,793,953711,0,"2023-2024, Kansas. Overall (6 months-17 years)",15.6 - 25.1,1,1,1,29,3,1,1290101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2165,4.7175,793,818734,0,"2023-2024, Kansas. Overall (6 months-17 years)",16.9 - 26.4,1,1,1,29,3,1,1290101
Kansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2297,5.381,793,548645,0,"2023-2024, Kansas. Overall (6 months-17 years)",17.6 - 28.3,1,1,1,29,3,1,1290101
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2334,1.45,12183,24151726,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",21.9 - 24.8,1,6,24,1,1,1,1010624
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2755,1.8177,12183,23515597,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",25.7 - 29.4,1,6,24,1,1,1,1010624
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2957,2.1567,12183,24117114,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",27.4 - 31.7,1,6,24,1,1,1,1010624
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3803,2.0674,12183,23108955,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",36.0 - 40.1,1,6,24,1,1,1,1010624
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3992,2.1741,12183,24755381,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",37.7 - 42.1,1,6,24,1,1,1,1010624
Region 1,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2346,2.8084,3286,2814403,0,"2023-2024, Region 1. Overall (6 months-17 years)",20.7 - 26.3,1,1,1,2,2,1,1020101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1542,3.3064,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",12.1 - 18.7,1,1,1,52,3,1,1520101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1542,3.3064,930,507032,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",12.1 - 18.7,1,1,1,52,3,1,1520101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.1956,4.1157,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",15.4 - 23.7,1,1,1,52,3,1,1520101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.1956,4.1157,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",15.4 - 23.7,1,1,1,52,3,1,1520101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1667,7.0664,355,32681,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",9.6 - 23.7,1,1,1,53,3,1,1530101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1679,6.668,355,129571,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",10.1 - 23.5,1,1,1,53,3,1,1530101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1679,6.668,355,98480,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",10.1 - 23.5,1,1,1,53,3,1,1530101
Region 10,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2397,4.5729,1939,3030606,0,"2023-2024, Region 10. Overall (6 months-17 years)",19.4 - 28.5,1,1,1,11,2,1,1110101
Region 10,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3055,4.026,1939,3044818,0,"2023-2024, Region 10. Overall (6 months-17 years)",26.5 - 34.6,1,1,1,11,2,1,1110101
Region 10,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3094,3.9652,1939,3044818,0,"2023-2024, Region 10. Overall (6 months-17 years)",27.0 - 34.9,1,1,1,11,2,1,1110101
Region 2,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2022,2.3388,2530,5824569,0,"2023-2024, Region 2. Overall (6 months-17 years)",17.9 - 22.6,1,1,1,3,2,1,1030101
Region 2,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2139,2.3917,2530,5824569,0,"2023-2024, Region 2. Overall (6 months-17 years)",19.0 - 23.8,1,1,1,3,2,1,1030101
Region 2,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2368,2.8848,2530,5824569,0,"2023-2024, Region 2. Overall (6 months-17 years)",20.8 - 26.6,1,1,1,3,2,1,1030101
Region 2,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2443,3.0263,2530,5824569,0,"2023-2024, Region 2. Overall (6 months-17 years)",21.4 - 27.5,1,1,1,3,2,1,1030101
Kentucky,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2881,6.6144,508,1609139,0,"2023-2024, Kentucky. Overall (6 months-17 years)",22.2 - 35.4,1,1,1,30,3,1,1300101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1464,3.7322,672,1960321,0,"2023-2024, Louisiana. Overall (6 months-17 years)",10.9 - 18.4,1,1,1,31,3,1,1310101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1491,3.7339,672,1849360,0,"2023-2024, Louisiana. Overall (6 months-17 years)",11.2 - 18.6,1,1,1,31,3,1,1310101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1635,3.907,672,1473639,0,"2023-2024, Louisiana. Overall (6 months-17 years)",12.4 - 20.3,1,1,1,31,3,1,1310101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1695,4.0836,672,774913,0,"2023-2024, Louisiana. Overall (6 months-17 years)",12.9 - 21.0,1,1,1,31,3,1,1310101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2881,7.1232,672,486148,0,"2023-2024, Louisiana. Overall (6 months-17 years)",21.7 - 35.9,1,1,1,31,3,1,1310101
Louisiana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2993,7.3215,672,821746,0,"2023-2024, Louisiana. Overall (6 months-17 years)",22.6 - 37.3,1,1,1,31,3,1,1310101
Region 3,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4168,2.7259,6159,6342417,0,"2023-2024, Region 3. Overall (6 months-17 years)",39.0 - 44.4,1,1,1,4,2,1,1040101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1744,1.9668,4811,14176394,0,"2023-2024, Region 4. Overall (6 months-17 years)",15.5 - 19.4,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2058,2.169,4811,14146986,0,"2023-2024, Region 4. Overall (6 months-17 years)",18.4 - 22.7,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2352,2.4503,4811,14147872,0,"2023-2024, Region 4. Overall (6 months-17 years)",21.1 - 26.0,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.25,2.7446,4811,14176394,0,"2023-2024, Region 4. Overall (6 months-17 years)",22.3 - 27.7,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2808,2.5826,4811,14176394,0,"2023-2024, Region 4. Overall (6 months-17 years)",25.5 - 30.7,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.306,2.9091,4811,14176394,0,"2023-2024, Region 4. Overall (6 months-17 years)",27.7 - 33.5,1,1,1,5,2,1,1050101
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2066,1.8112,8167,21568530,0,"2023-2024, National. Age: 13-17 years",18.8 - 22.5,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2172,2.0542,8167,21595170,0,"2023-2024, National. Age: 13-17 years",19.7 - 23.8,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2828,1.9609,8167,21656730,0,"2023-2024, National. Age: 13-17 years",26.3 - 30.2,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2993,2.1102,8167,21530860,0,"2023-2024, National. Age: 13-17 years",27.8 - 32.0,1,2,9,1,1,1,1010209
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1829,1.1863,13542,28648425,0,"2023-2024, National. Age: 5-11 years",17.1 - 19.5,1,2,6,1,1,1,1010206
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2178,1.453,13542,28025550,0,"2023-2024, National. Age: 5-11 years",20.3 - 23.2,1,2,6,1,1,1,1010206
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2531,1.587,13542,28580867,0,"2023-2024, National. Age: 5-11 years",23.7 - 26.9,1,2,6,1,1,1,1010206
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1839,1.736,4692,10305539,0,"2023-2024, Region 6. Overall (6 months-17 years)",16.7 - 20.1,1,1,1,7,2,1,1070101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2194,2.1375,4692,10338450,0,"2023-2024, Region 6. Overall (6 months-17 years)",19.8 - 24.1,1,1,1,7,2,1,1070101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2407,2.5006,4692,10347695,0,"2023-2024, Region 6. Overall (6 months-17 years)",21.6 - 26.6,1,1,1,7,2,1,1070101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3284,2.8743,4692,10357816,0,"2023-2024, Region 6. Overall (6 months-17 years)",30.0 - 35.7,1,1,1,7,2,1,1070101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3428,2.9627,4692,10357816,0,"2023-2024, Region 6. Overall (6 months-17 years)",31.3 - 37.2,1,1,1,7,2,1,1070101
Region 7,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1496,2.8486,1940,3174449,0,"2023-2024, Region 7. Overall (6 months-17 years)",12.1 - 17.8,1,1,1,8,2,1,1080101
Region 7,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1792,3.0903,1940,3162776,0,"2023-2024, Region 7. Overall (6 months-17 years)",14.8 - 21.0,1,1,1,8,2,1,1080101
Region 7,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2172,3.5904,1940,3172850,0,"2023-2024, Region 7. Overall (6 months-17 years)",18.1 - 25.3,1,1,1,8,2,1,1080101
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3427,1.6132,15943,32255744,0,"2023-2024, National. Age: 5-12 years",32.7 - 35.9,1,2,8,1,1,1,1010208
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.362,1.7279,15943,32356943,0,"2023-2024, National. Age: 5-12 years",34.5 - 37.9,1,2,8,1,1,1,1010208
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1708,0.8635,24110,53912474,0,"2023-2024, National. Age: 5-17 years",16.2 - 17.9,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1976,0.9996,24110,54052688,0,"2023-2024, National. Age: 5-17 years",18.8 - 20.8,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2353,1.1568,24110,54154109,0,"2023-2024, National. Age: 5-17 years",22.4 - 24.7,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2517,1.307,24110,53947169,0,"2023-2024, National. Age: 5-17 years",23.9 - 26.5,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3195,1.275,24110,53912474,0,"2023-2024, National. Age: 5-17 years",30.7 - 33.2,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3381,1.3702,24110,53887803,0,"2023-2024, National. Age: 5-17 years",32.4 - 35.2,1,2,5,1,1,1,1010205
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2942,5.6199,1042,1496129,0,"2023-2024, Maryland. Overall (6 months-17 years)",23.8 - 35.0,1,1,1,33,3,1,1330101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.322,5.7692,1042,1339399,0,"2023-2024, Maryland. Overall (6 months-17 years)",26.4 - 38.0,1,1,1,33,3,1,1330101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.3544,6.8218,1042,973328,0,"2023-2024, Maryland. Overall (6 months-17 years)",28.6 - 42.3,1,1,1,33,3,1,1330101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.4503,6.8519,1042,908392,0,"2023-2024, Maryland. Overall (6 months-17 years)",38.2 - 51.9,1,1,1,33,3,1,1330101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4614,6.7215,1042,773930,0,"2023-2024, Maryland. Overall (6 months-17 years)",39.4 - 52.9,1,1,1,33,3,1,1330101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2466,3.9857,812,2151208,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",20.7 - 28.7,1,1,1,34,3,1,1340101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2762,5.199,812,1471399,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",22.4 - 32.8,1,1,1,34,3,1,1340101
National,National,Age,6-23 months,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.3325,3.2715,3800,5176139,0,"2023-2024, National. Age: 6-23 months",30.0 - 36.5,1,2,4,1,1,1,1010204
